Stock_Index,Gourujia,Predictions,Shares,True_Portfolio_Value,True_Earnings_Rate
7,53.520000,-0.001653,0.055103,-2903.650584,-100.102982
6,110.540001,-0.002086,0.056447,-2972.569511,-100.037428
5,9.046000,-0.000453,0.075087,-3937.339687,-99.614818
4,238.669998,-0.001086,0.092846,-4887.785090,-100.003420
8,309.209991,0.000580,0.097416,-5128.385281,-100.003639
0,85.997498,0.000018,0.147742,-7775.163290,-99.970462
2,130.042999,-0.000740,0.147863,-7782.716452,-99.986347
3,72.603996,-0.000093,0.163401,-8600.775721,-99.988081
1,189.800003,-0.000687,0.164095,-8636.625829,-99.980811
