Stock_Index,Gourujia,Predictions,Shares,True_Portfolio_Value,True_Earnings_Rate
4,196.210007,-0.001086,0.058701,-1871.922906,-99.996273
5,16.950001,-0.000453,0.067460,-2146.545184,-99.779665
2,108.789001,-0.000740,0.071218,-2271.142087,-99.999409
3,112.511002,-0.000093,0.110062,-3509.411168,-99.985240
7,84.459999,-0.001653,0.110141,-3512.094683,-99.992176
1,264.579987,-0.000687,0.111295,-3549.000957,-99.993036
0,152.059998,0.000018,0.118239,-3770.301023,-99.989489
6,121.860001,-0.002086,0.158674,-5061.104243,-100.020248
8,486.420013,0.000580,0.194209,-6193.387704,-99.999329
