Stock_Index,Gourujia,Predictions,Shares,True_Portfolio_Value,True_Earnings_Rate
5,107.269997,-0.000453,0.043553,-2105.691492,-100.061237
4,488.140015,-0.001086,0.073546,-3553.825975,-100.005275
2,167.899994,-0.000740,0.083746,-4047.463426,-100.024920
8,589.830017,0.000580,0.109662,-5299.004754,-100.005810
3,166.660004,-0.000093,0.115219,-5568.738726,-100.027289
6,199.139999,-0.002086,0.118731,-5737.474545,-100.010807
0,219.860001,0.000018,0.144212,-6969.682074,-100.022453
1,408.489990,-0.000687,0.150412,-7268.265490,-100.008128
7,116.879997,-0.001653,0.160919,-7776.450180,-100.015587
