Stock_Index,Gourujia,Predictions,Shares,True_Portfolio_Value,True_Earnings_Rate
7,60.930000,-0.001653,0.082778,-5166.807384,-99.978857
5,20.742001,-0.000453,0.083185,-5205.815341,-100.240666
4,343.010010,-0.001086,0.099882,-6236.716447,-100.014623
6,167.130005,-0.002086,0.104271,-6509.832799,-100.000645
1,289.100006,-0.000687,0.115853,-7233.434716,-100.007242
3,136.542999,-0.000093,0.118435,-7395.331037,-100.015632
0,142.649994,0.000018,0.119031,-7432.687706,-100.017465
8,392.429993,0.000580,0.130928,-8174.393245,-100.003544
2,164.162994,-0.000740,0.145637,-9093.970837,-100.017595
