Stock_Index,Gourujia,Predictions,Shares,True_Portfolio_Value,True_Earnings_Rate
5,43.299000,-0.000453,0.062695,-3871.096624,-99.812200
2,133.220001,-0.000740,0.068904,-4262.124188,-99.991818
4,283.250000,-0.001086,0.075094,-4645.023344,-99.991807
3,127.459999,-0.000093,0.089805,-5555.133045,-99.994419
7,110.040001,-0.001653,0.108266,-6698.140038,-100.011051
1,316.480011,-0.000687,0.113710,-7033.883625,-99.994654
0,174.490005,0.000018,0.119927,-7418.520378,-99.995583
6,148.970001,-0.002086,0.163226,-10097.021737,-99.997706
8,498.440002,0.000580,0.198372,-12271.612522,-100.000306
