Stock_Index,Gourujia,Predictions,Shares,True_Portfolio_Value,True_Earnings_Rate
4,208.279999,-0.001086,0.056757,-1896.118012,-100.010511
2,116.406998,-0.000740,0.069170,-2310.842287,-100.012148
5,18.844000,-0.000453,0.069516,-2323.191847,-100.047808
3,116.505501,-0.000093,0.106019,-3541.690151,-100.005610
1,277.350006,-0.000687,0.109496,-3657.740675,-100.003422
0,156.770004,0.000018,0.116400,-3888.183920,-99.997928
7,90.309998,-0.001653,0.138481,-4624.993807,-99.983208
6,123.919998,-0.002086,0.148070,-4946.142134,-100.001303
8,494.720001,0.000580,0.186090,-6216.088791,-99.998008
