Stock_Index,Gourujia,Predictions,Shares,True_Portfolio_Value,True_Earnings_Rate
5,22.771999,-0.000453,0.073250,-3763.996780,-100.162647
6,147.919998,-0.002086,0.089002,-4566.590626,-100.012035
4,294.630005,-0.001086,0.095559,-4902.497644,-99.999988
2,138.872498,-0.000740,0.100548,-5158.237691,-99.996044
1,296.709991,-0.000687,0.110778,-5683.073377,-99.996463
7,74.169998,-0.001653,0.113263,-5809.686586,-99.982841
3,129.233002,-0.000093,0.120791,-6197.098426,-100.001366
8,458.429993,0.000580,0.144039,-7389.615966,-99.998497
0,159.690002,0.000018,0.152770,-7837.802089,-100.001846
