Stock_Index,Gourujia,Predictions,Shares,True_Portfolio_Value,True_Earnings_Rate
8,313.529999,0.000580,0.048702,-3422.159414,-100.006028
5,141.970001,-0.000453,0.082061,-5764.986288,-99.986633
3,174.669998,-0.000093,0.094418,-6633.572327,-99.993158
4,682.869995,-0.001086,0.099131,-6964.857485,-99.995929
0,196.449997,0.000018,0.107507,-7553.300833,-99.994921
7,112.120003,-0.001653,0.110959,-7795.885147,-99.997141
2,212.100006,-0.000740,0.118503,-8325.573613,-99.991191
6,264.950012,-0.002086,0.166910,-11726.538186,-99.992371
1,474.959991,-0.000687,0.171810,-12071.535226,-99.998155
