Stock_Index,Gourujia,Predictions,Shares,True_Portfolio_Value,True_Earnings_Rate
5,42.317001,-0.000453,0.067081,-4144.432872,-100.011981
8,471.220001,0.000580,0.083781,-5175.654646,-100.000839
4,294.369995,-0.001086,0.089719,-5542.551310,-100.002758
2,130.380005,-0.000740,0.090091,-5566.023055,-100.011976
1,338.149994,-0.000687,0.103772,-6410.350750,-99.997284
3,121.750000,-0.000093,0.104024,-6426.832462,-100.011139
7,106.910004,-0.001653,0.146454,-9050.341309,-100.035577
6,144.639999,-0.002086,0.147270,-9098.132780,-100.006869
0,191.330002,0.000018,0.167808,-10366.250849,-99.998690
