Stock_Index,Gourujia,Predictions,Shares,True_Portfolio_Value,True_Earnings_Rate
6,247.059998,-0.002086,0.068419,-3686.935461,-100.017887
5,145.610001,-0.000453,0.074659,-4021.889981,-99.984748
8,596.690002,0.000580,0.074797,-4029.885793,-99.997557
2,207.089996,-0.000740,0.093864,-5056.900832,-99.993147
1,420.179993,-0.000687,0.110768,-5967.811209,-99.997045
4,572.049988,-0.001086,0.115909,-6244.608812,-99.994096
3,176.509995,-0.000093,0.132668,-7147.021124,-99.986552
7,121.000000,-0.001653,0.150443,-8105.458598,-99.998976
0,222.720001,0.000018,0.178473,-9614.965850,-99.990505
