Stock_Index,Gourujia,Predictions,Shares,True_Portfolio_Value,True_Earnings_Rate
5,14.400000,-0.000453,0.081822,-4680.878202,-99.620423
4,312.459991,-0.001086,0.088590,-5087.559195,-100.000944
7,55.869999,-0.001653,0.100003,-5743.479595,-100.011893
0,133.000000,0.000018,0.107358,-6165.947018,-100.010016
3,113.533501,-0.000093,0.111490,-6403.286994,-100.010163
1,255.850006,-0.000687,0.116414,-6685.384283,-99.999908
2,168.610001,-0.000740,0.119714,-6874.789419,-99.998737
6,156.279999,-0.002086,0.131931,-7576.541651,-100.001353
8,376.299988,0.000580,0.142678,-8193.706512,-100.000014
