Stock_Index,Gourujia,Predictions,Shares,True_Portfolio_Value,True_Earnings_Rate
0,124.370003,0.000018,0.070421,-3565.313721,-99.990440
4,267.010010,-0.001086,0.078862,-3992.805701,-99.993906
5,12.683500,-0.000453,0.081438,-4122.385830,-99.977189
1,213.020004,-0.000687,0.106703,-5402.633068,-99.998526
7,41.009998,-0.001653,0.109806,-5555.682917,-99.929095
2,164.235992,-0.000740,0.109960,-5567.401851,-99.995799
6,97.320000,-0.002086,0.126089,-6382.386650,-99.971470
3,78.778503,-0.000093,0.138186,-6996.309619,-99.992305
8,314.140015,0.000580,0.178534,-9040.310825,-100.005417
