Stock_Index,Gourujia,Predictions,Shares,True_Portfolio_Value,True_Earnings_Rate
5,15.909000,-0.000453,0.054854,-2756.543881,-99.963755
4,132.990005,-0.001086,0.077557,-3898.946295,-100.000566
2,89.870003,-0.000740,0.086049,-4323.065525,-99.937176
0,130.729996,0.000018,0.090956,-4571.811043,-99.984019
1,228.850006,-0.000687,0.100262,-5039.700012,-99.986983
3,88.419998,-0.000093,0.109598,-5507.552885,-99.961028
7,110.089996,-0.001653,0.119497,-6006.598785,-99.989500
8,486.000000,0.000580,0.163927,-8240.662899,-99.996891
6,138.600006,-0.002086,0.197300,-9917.938334,-99.994658
