Stock_Index,Gourujia,Predictions,Shares,True_Portfolio_Value,True_Earnings_Rate
4,240.320007,-0.001086,0.065834,-3143.942958,-99.995077
2,105.449997,-0.000740,0.086671,-4140.501721,-100.031080
1,307.260010,-0.000687,0.097709,-4666.453077,-100.001806
6,138.240005,-0.002086,0.111311,-5315.094166,-99.984675
8,492.089996,0.000580,0.114734,-5479.403182,-99.998515
3,107.339996,-0.000093,0.115810,-5530.929069,-100.001216
5,27.749001,-0.000453,0.115942,-5528.897350,-99.852291
7,118.339996,-0.001653,0.125534,-5996.782288,-100.026621
0,169.679993,0.000018,0.166455,-7949.601935,-100.000313
