Stock_Index,Gourujia,Predictions,Shares,True_Portfolio_Value,True_Earnings_Rate
5,16.527000,-0.000453,0.066071,-2308.024143,-100.348886
4,169.350006,-0.001086,0.074984,-2611.138366,-100.030334
2,107.669998,-0.000740,0.078686,-2740.168864,-100.035251
0,135.429993,0.000018,0.103481,-3603.475341,-100.029874
3,109.764503,-0.000093,0.107923,-3758.208446,-100.031506
1,251.759995,-0.000687,0.123567,-4302.108526,-100.010860
6,115.410004,-0.002086,0.126110,-4390.742896,-100.014994
7,94.889999,-0.001653,0.144588,-5035.348327,-100.039606
8,464.329987,0.000580,0.174591,-6078.145805,-100.003856
