Stock_Index,Gourujia,Predictions,Shares,True_Portfolio_Value,True_Earnings_Rate
2,102.570000,-0.000740,0.086024,-4836.411515,-99.977358
8,491.920013,0.000580,0.096720,-5439.244290,-100.003741
6,137.669998,-0.002086,0.098542,-5542.127439,-100.012989
5,26.240999,-0.000453,0.102539,-5760.252345,-99.897554
3,103.849998,-0.000093,0.106750,-6003.134930,-100.001299
7,116.519997,-0.001653,0.107505,-6045.915133,-100.007917
4,207.550003,-0.001086,0.124009,-6973.288477,-99.995724
1,275.420013,-0.000687,0.128797,-7241.011674,-99.974609
0,163.770004,0.000018,0.149116,-8385.562848,-100.000037
