Stock_Index,Gourujia,Predictions,Shares,True_Portfolio_Value,True_Earnings_Rate
5,5.452750,-0.000453,0.051970,-2026.767509,-100.270206
2,83.276497,-0.000740,0.063481,-2469.193939,-100.000000
1,105.919998,-0.000687,0.092751,-3607.618435,-99.997863
3,54.299000,-0.000093,0.096132,-3740.141533,-100.024738
4,151.750000,-0.001086,0.100907,-3925.149277,-100.006108
0,55.555000,0.000018,0.117556,-4578.193473,-100.123541
8,260.929993,0.000580,0.135151,-5256.940776,-99.999882
6,108.980003,-0.002086,0.164399,-6394.766178,-100.005066
7,80.669998,-0.001653,0.177653,-6908.624627,-99.980485
