Stock_Index,Gourujia,Predictions,Shares,True_Portfolio_Value,True_Earnings_Rate
5,14.836750,-0.000453,0.060953,-3893.445570,-100.224242
4,322.579987,-0.001086,0.079508,-5067.594421,-100.004082
7,58.820000,-0.001653,0.099961,-6370.156689,-99.989339
8,405.899994,0.000580,0.115693,-7373.410040,-99.996720
0,132.539993,0.000018,0.119881,-7642.701710,-100.027182
2,169.324493,-0.000740,0.123198,-7853.007829,-100.013159
6,153.360001,-0.002086,0.127467,-8123.244263,-99.991048
3,117.153999,-0.000093,0.130626,-8326.529980,-100.013309
1,251.860001,-0.000687,0.142713,-9096.323702,-100.006469
