Stock_Index,Gourujia,Predictions,Shares,True_Portfolio_Value,True_Earnings_Rate
5,52.252998,-0.000453,0.060908,-4808.733755,-99.967786
4,358.660004,-0.001086,0.088895,-7020.676603,-100.000958
2,149.100006,-0.000740,0.093789,-7406.367862,-99.989866
7,100.919998,-0.001653,0.101652,-8028.973094,-100.012350
0,185.559998,0.000018,0.102674,-8108.957119,-100.001221
3,138.839996,-0.000093,0.108638,-8578.972254,-99.989136
8,536.520020,0.000580,0.116113,-9170.165343,-99.999358
1,374.690002,-0.000687,0.135781,-10723.423808,-99.999218
6,172.020004,-0.002086,0.191550,-15128.550309,-100.004614
