Stock_Index,Gourujia,Predictions,Shares,True_Portfolio_Value,True_Earnings_Rate
5,4.068750,-0.000453,0.059956,-4646.809366,-100.383531
4,197.199997,-0.001086,0.088579,-6839.859476,-100.002061
1,137.460007,-0.000687,0.112568,-8692.244317,-100.002120
0,51.102501,0.000018,0.113173,-8738.933283,-100.001724
2,96.949997,-0.000740,0.118304,-9134.741349,-99.997922
8,245.210007,0.000580,0.122863,-9486.763208,-99.997050
3,56.149502,-0.000093,0.123256,-9515.914712,-99.984714
6,112.820000,-0.002086,0.127246,-9824.736043,-99.994752
7,76.440002,-0.001653,0.134055,-10351.564149,-100.005316
