Stock_Index,Gourujia,Predictions,Shares,True_Portfolio_Value,True_Earnings_Rate
5,14.505000,-0.000453,0.053001,-2792.421552,-100.686092
4,168.960007,-0.001086,0.078487,-4109.498221,-100.058224
2,136.449997,-0.000740,0.092543,-4845.256359,-100.053638
3,110.860001,-0.000093,0.100805,-5277.892025,-100.054849
7,97.610001,-0.001653,0.105489,-5521.370293,-100.024214
0,163.429993,0.000018,0.115059,-6023.123360,-100.037002
6,120.580002,-0.002086,0.130538,-6832.801151,-100.029331
1,266.649994,-0.000687,0.131189,-6866.380401,-100.021207
8,531.250000,0.000580,0.192888,-10094.263741,-100.006228
