Stock_Index,Gourujia,Predictions,Shares,True_Portfolio_Value,True_Earnings_Rate
5,38.653999,-0.000453,0.026968,-1836.677330,-100.080137
3,127.309998,-0.000093,0.089837,-6115.492587,-100.030252
2,126.610001,-0.000740,0.089905,-6120.279035,-100.034296
7,106.150002,-0.001653,0.105553,-7181.507086,-99.979111
1,333.679993,-0.000687,0.115203,-7840.550934,-100.009397
4,271.119995,-0.001086,0.120325,-8189.183680,-100.010375
6,139.339996,-0.002086,0.126136,-8583.149338,-99.993080
8,487.570007,0.000580,0.152751,-10395.308327,-100.002301
0,179.210007,0.000018,0.173322,-11795.488304,-100.004345
