Stock_Index,Gourujia,Predictions,Shares,True_Portfolio_Value,True_Earnings_Rate
5,143.710007,-0.000453,0.058738,-4125.504969,-100.000581
8,571.469971,0.000580,0.064823,-4552.919783,-100.000494
7,120.080002,-0.001653,0.093445,-6562.829108,-99.995711
6,223.000000,-0.002086,0.105760,-7427.923980,-99.997753
0,236.479996,0.000018,0.109014,-7656.793606,-100.001110
2,189.070007,-0.000740,0.114983,-8075.732709,-99.998241
4,575.159973,-0.001086,0.133720,-9391.741083,-99.997942
3,164.070007,-0.000093,0.149540,-10502.657533,-99.996038
1,418.779999,-0.000687,0.169975,-11937.709398,-99.995073
