Stock_Index,Gourujia,Predictions,Shares,True_Portfolio_Value,True_Earnings_Rate
5,89.877998,-0.000453,0.048405,-2559.070996,-99.993569
4,476.200012,-0.001086,0.060696,-3209.253181,-100.003643
3,168.649994,-0.000093,0.072055,-3809.647892,-99.998280
0,183.050003,0.000018,0.102978,-5444.136365,-99.990444
2,187.479996,-0.000740,0.103875,-5492.214014,-100.002595
8,512.809998,0.000580,0.118120,-6245.289900,-100.000407
1,414.739990,-0.000687,0.122476,-6475.584481,-100.000594
7,117.959999,-0.001653,0.174635,-9233.211549,-100.000359
6,198.770004,-0.002086,0.196760,-10403.010808,-100.000101
