Stock_Index,Gourujia,Predictions,Shares,True_Portfolio_Value,True_Earnings_Rate
4,200.679993,-0.001086,0.074879,-3734.315658,-99.988537
6,128.880005,-0.002086,0.078789,-3929.643541,-99.998436
5,26.410000,-0.000453,0.085135,-4242.764014,-99.918586
7,107.120003,-0.001653,0.098209,-4897.558211,-99.984101
3,101.029999,-0.000093,0.099590,-4967.103165,-99.996479
2,97.239998,-0.000740,0.108901,-5429.954851,-99.968650
1,275.230011,-0.000687,0.118918,-5930.885955,-99.993096
0,157.649994,0.000018,0.143215,-7142.262622,-99.987569
8,472.579987,0.000580,0.192363,-9594.801250,-100.002699
