Stock_Index,Gourujia,Predictions,Shares,True_Portfolio_Value,True_Earnings_Rate
5,13.348250,-0.000453,0.059250,-2989.431252,-99.744278
4,294.529999,-0.001086,0.086442,-4372.440110,-99.995272
7,55.830002,-0.001653,0.090458,-4573.427359,-99.950638
0,122.150002,0.000018,0.096611,-4886.789707,-99.994323
3,103.125999,-0.000093,0.110421,-5583.949259,-99.968883
2,154.703995,-0.000740,0.125595,-6352.331452,-99.986169
1,235.770004,-0.000687,0.126985,-6422.771393,-99.988325
6,152.229996,-0.002086,0.139182,-7040.030548,-99.993644
8,372.070007,0.000580,0.165056,-8349.726721,-100.003636
