Stock_Index,Gourujia,Predictions,Shares,True_Portfolio_Value,True_Earnings_Rate
5,4.548500,-0.000453,0.050922,-3175.873052,-100.210050
0,54.687500,0.000018,0.089482,-5569.037828,-99.990412
8,233.610001,0.000580,0.100543,-6257.953938,-99.998500
4,187.190002,-0.001086,0.113857,-7086.882507,-100.002775
1,137.320007,-0.000687,0.118906,-7401.349208,-100.005269
6,120.230003,-0.002086,0.119222,-7421.131233,-100.007435
3,62.001499,-0.000093,0.119353,-7429.668438,-100.010963
2,91.967003,-0.000740,0.138231,-8605.428245,-100.018783
7,72.639999,-0.001653,0.149484,-9302.170730,-99.979496
