Stock_Index,Gourujia,Predictions,Shares,True_Portfolio_Value,True_Earnings_Rate
5,47.493999,-0.000453,0.076568,-4494.252940,-100.018568
8,500.000000,0.000580,0.082404,-4835.881231,-99.998525
3,123.760002,-0.000093,0.095584,-5610.067422,-100.011375
4,312.049988,-0.001086,0.097178,-5702.718816,-99.995959
7,100.919998,-0.001653,0.107795,-6325.507001,-99.993151
2,132.830002,-0.000740,0.109710,-6437.461946,-99.985796
1,359.489990,-0.000687,0.113092,-6637.106447,-100.003434
6,153.660004,-0.002086,0.137453,-8066.186160,-99.997506
0,193.729996,0.000018,0.180215,-10575.650644,-99.996363
