Stock_Index,Gourujia,Predictions,Shares,True_Portfolio_Value,True_Earnings_Rate
4,181.279999,-0.001086,0.063979,-1880.257920,-99.992294
5,16.153999,-0.000453,0.064670,-1894.842730,-99.693116
2,104.099998,-0.000740,0.071324,-2095.774398,-99.975627
0,140.360001,0.000018,0.103927,-3054.517715,-99.999188
1,259.619995,-0.000687,0.118422,-3480.384883,-99.995721
3,105.970001,-0.000093,0.118599,-3485.793914,-100.001470
7,94.400002,-0.001653,0.127691,-3752.110602,-99.978891
6,126.360001,-0.002086,0.147194,-4325.876329,-99.994508
8,497.559998,0.000580,0.184194,-5413.659700,-99.999786
