Stock_Index,Gourujia,Predictions,Shares,True_Portfolio_Value,True_Earnings_Rate
5,16.868999,-0.000453,0.072764,-2440.796976,-100.320200
4,169.490005,-0.001086,0.078834,-2636.838766,-100.031494
2,113.220001,-0.000740,0.087221,-2917.819550,-100.046611
7,89.029999,-0.001653,0.096975,-3241.592646,-99.969263
3,115.833504,-0.000093,0.111293,-3722.467064,-100.028997
0,141.660004,0.000018,0.116518,-3896.933323,-100.021349
1,264.890015,-0.000687,0.130828,-4375.126838,-100.012180
8,505.660004,0.000580,0.146511,-4898.956587,-99.998916
6,116.379997,-0.002086,0.159058,-5318.669668,-100.004145
