Stock_Index,Gourujia,Predictions,Shares,True_Portfolio_Value,True_Earnings_Rate
5,6.142250,-0.000453,0.059931,-3904.226162,-100.715243
2,87.762497,-0.000740,0.079849,-5166.433008,-100.023540
0,54.090000,0.000018,0.089939,-5818.858015,-100.016393
4,151.380005,-0.001086,0.091727,-5933.017467,-99.991459
1,106.160004,-0.000687,0.097605,-6313.947348,-100.002221
3,54.608002,-0.000093,0.102724,-6645.101961,-100.002383
6,111.470001,-0.002086,0.136599,-8838.526589,-100.027291
7,84.519997,-0.001653,0.167492,-10838.955259,-100.041598
8,263.079987,0.000580,0.174134,-11265.281414,-100.008710
