Stock_Index,Gourujia,Predictions,Shares,True_Portfolio_Value,True_Earnings_Rate
2,158.233994,-0.000740,0.079019,-3401.755504,-100.010631
0,106.260002,0.000018,0.083779,-3605.429900,-99.976581
7,42.080002,-0.001653,0.094189,-4053.856289,-99.990419
4,253.669998,-0.001086,0.103584,-4458.907056,-100.002666
5,10.614750,-0.000453,0.106477,-4567.342285,-99.655365
6,96.639999,-0.002086,0.114713,-4938.018321,-100.005798
1,205.009995,-0.000687,0.120050,-5166.199976,-99.973310
3,74.397499,-0.000093,0.143161,-6162.668608,-100.004697
8,302.779999,0.000580,0.155027,-6673.138343,-99.999096
