Stock_Index,Gourujia,Predictions,Shares,True_Portfolio_Value,True_Earnings_Rate
4,148.949997,-0.001086,0.081229,-2822.953150,-100.006386
2,83.727997,-0.000740,0.081907,-2846.129854,-99.993442
0,38.267502,0.000018,0.083096,-2886.744005,-99.968269
5,3.746750,-0.000453,0.083199,-2896.207173,-100.184063
1,105.010002,-0.000687,0.107224,-3725.990482,-99.996651
3,54.325500,-0.000093,0.119905,-4166.582882,-99.994925
7,71.669998,-0.001653,0.136923,-4758.114516,-100.000584
8,256.869995,0.000580,0.138974,-4829.154655,-99.993105
6,101.680000,-0.002086,0.167542,-5821.669669,-99.992101
