Stock_Index,Gourujia,Predictions,Shares,True_Portfolio_Value,True_Earnings_Rate
4,179.529999,-0.001086,0.027168,-1997.466925,-100.015191
0,52.560001,0.000018,0.088981,-6539.348488,-99.972329
2,94.130997,-0.000740,0.095265,-7002.937755,-99.997802
3,61.611000,-0.000093,0.095517,-7022.347681,-100.010784
1,107.660004,-0.000687,0.104958,-7715.633020,-100.000173
5,6.477000,-0.000453,0.114700,-8439.494115,-100.098043
7,76.940002,-0.001653,0.126792,-9318.849723,-99.982216
6,113.699997,-0.002086,0.136742,-10051.125332,-99.991762
8,260.609985,0.000580,0.209877,-15427.954703,-99.996351
