Stock_Index,Gourujia,Predictions,Shares,True_Portfolio_Value,True_Earnings_Rate
5,123.510002,-0.000453,0.041941,-2531.711689,-99.996533
2,192.529999,-0.000740,0.090826,-5483.039922,-100.003709
3,161.490005,-0.000093,0.099532,-6008.121498,-99.995263
6,210.190002,-0.002086,0.099692,-6018.060138,-100.000929
7,114.769997,-0.001653,0.109855,-6632.465878,-100.015086
4,568.309998,-0.001086,0.113725,-6865.175543,-100.000146
0,226.369995,0.000018,0.115813,-6991.036087,-99.997761
1,432.109985,-0.000687,0.141945,-8568.752456,-100.000429
8,576.309998,0.000580,0.186669,-11268.619959,-100.000452
