Stock_Index,Gourujia,Predictions,Shares,True_Portfolio_Value,True_Earnings_Rate
8,300.579987,0.000580,0.072541,-4778.869306,-100.009965
5,164.070007,-0.000453,0.090178,-5938.749674,-99.975855
3,181.559998,-0.000093,0.093233,-6141.324220,-99.998667
7,113.919998,-0.001653,0.097472,-6421.030725,-100.007817
4,720.919983,-0.001086,0.099932,-6582.825719,-100.002041
2,225.690002,-0.000740,0.109147,-7189.550864,-99.998706
6,288.700012,-0.002086,0.118253,-7789.675042,-100.002589
0,208.619995,0.000018,0.129587,-8536.014665,-99.998875
1,503.019989,-0.000687,0.189658,-12492.937213,-99.998896
