Stock_Index,Gourujia,Predictions,Shares,True_Portfolio_Value,True_Earnings_Rate
7,44.009998,-0.001653,0.043092,-2932.044277,-100.010868
6,120.269997,-0.002086,0.084617,-5757.223287,-100.004923
4,277.119995,-0.001086,0.098872,-6727.132770,-100.004679
5,12.972250,-0.000453,0.105475,-7174.129901,-99.975674
0,123.239998,0.000018,0.105966,-7209.896204,-100.005483
3,88.382500,-0.000093,0.118678,-8074.043640,-99.995433
8,339.649994,0.000580,0.130626,-8887.507707,-100.002245
2,155.074493,-0.000740,0.151786,-10326.580404,-99.996903
1,210.520004,-0.000687,0.160886,-10945.372003,-99.993857
