Stock_Index,Gourujia,Predictions,Shares,True_Portfolio_Value,True_Earnings_Rate
5,24.451000,-0.000453,0.073748,-4285.746243,-99.918850
4,312.220001,-0.001086,0.078148,-4544.951909,-99.995214
3,146.217499,-0.000093,0.097158,-5650.926540,-100.001726
7,64.129997,-0.001653,0.104581,-6082.171019,-99.995629
8,453.480011,0.000580,0.111735,-6498.630118,-99.999049
2,169.624496,-0.000740,0.117987,-6861.645751,-99.990676
6,167.830002,-0.002086,0.124522,-7241.629070,-99.991085
1,323.170013,-0.000687,0.124878,-7262.996355,-99.998872
0,148.850006,0.000018,0.167242,-9725.438777,-99.983417
