Stock_Index,Gourujia,Predictions,Shares,True_Portfolio_Value,True_Earnings_Rate
4,186.899994,-0.001086,0.071274,-4738.080325,-100.002784
5,6.188500,-0.000453,0.077103,-5124.589331,-99.990212
0,47.090000,0.000018,0.102762,-6831.318859,-100.002369
3,54.298000,-0.000093,0.107956,-7176.474752,-100.000865
7,82.150002,-0.001653,0.112007,-7447.666831,-100.028181
2,80.093002,-0.000740,0.112619,-7486.256087,-99.999057
8,244.259995,0.000580,0.124262,-8260.576409,-100.002572
1,98.660004,-0.000687,0.128639,-8551.582653,-100.003602
6,112.489998,-0.002086,0.163375,-10861.307664,-100.010013
